key_documento,citekey_bib,label,year,first_surname
EA8ZWUTY,baranov_digital_2022,"Baranov et al., 2022",2022,Baranov
CCRR3WV2,barletta_cyber_2025,"Barletta et al., 2025",2025,Barletta
6XH9DD3P,boltsi_towards_2025,"Boltsi et al., 2025",2025,Boltsi
3PCKDEQL,bonavolonta_sustainability_2026,"Bonavolonta et al., 2026",2026,Bonavolonta
8HY5G5V9,chen_research_2025,"Chen et al., 2025",2025,Chen
95CLH3FL,cortes_digital_2020,"Cortes et al., 2020",2020,Cortes
6EEVCR6P,cruz_salazar_adaptive_2025,"Cruz Salazar et al., 2025",2025,Cruz Salazar
XMATM5GI,cuiffi_factory_2021,"Cuiffi et al., 2021",2021,Cuiffi
8BL4J2HZ,eriksson_applying_2022,"Eriksson et al., 2022",2022,Eriksson
FSWUL6I2,federal_university_of_amazonas_development_2025,"de Melo Freires et al., 2025",2025,Federal University of Amazonas
XRUBK3B6,fu_computer_2025,"Fu et al., 2025",2025,Fu
AUYHBWNM,fuertes_environment_2021,"Fuertes et al., 2021",2021,Fuertes
TVN4S7DC,gallego_low-cost_2025,"Gallego et al., 2025",2025,Gallego
E72EWP4S,garcia_digital_2026,"García et al., 2026",2026,García
QFQRYWLR,gonzalez-medina_virtual_2026,"González-Medina et al., 2026",2026,González-Medina
G8SP5KLS,guo_rhl-butterfly_2025,"Guo et al., 2025",2025,Guo
RGEVSHH7,hagedorn_project-based_2023,"Hagedorn et al., 2023",2023,Hagedorn
DSC46KTS,heidarinejad_implication_2023,"Heidarinejad et al., 2023",2023,Heidarinejad
RF7G2HYJ,hu_desktop_2025,"Hu et al., 2025",2025,Hu
XNXBTF6L,hafner_adaptive_2024,"Häfner et al., 2024",2024,Häfner
Z68IK8T9,jiang_six-dimensional_2026,"Jiang et al., 2026",2026,Jiang
H4UKEM4U,keaveney_development_2021,"Keaveney et al., 2021",2021,Keaveney
DD7XCT2V,khan_teaching_2026,"Khan et al., 2026",2026,Khan
UDMDFTPK,kumarasinghe_transforming_2025,"Kumarasinghe et al., 2025",2025,Kumarasinghe
LQ8B3L7G,kwateng_enhancing_2026,"Kwateng et al., 2026",2026,Kwateng
ZWFNABKK,li_exploration_2025,"Li, 2025",2025,Li
44H5ZW4K,liljaniemi_using_2020,"Liljaniemi et al., 2020",2020,Liljaniemi
VQYX4C58,liljaniemi_enhancing_2025,"Liljaniemi et al., 2025",2025,Liljaniemi
TMH74BB2,lin_visfactory_2025,"Lin et al., 2025",2025,Lin
2XBEESYC,lu_digital_2025,"Lu et al., 2025",2025,Lu
3FI8CZ85,machado_automatic_2025,"Machado et al., 2025",2025,Machado
3ZV8INI7,morris_application_2023,"Morris et al., 2023",2023,Morris
6SLCII6M,mourtzis_hybrid_2022,"Mourtzis et al., 2022",2022,Mourtzis
Z3CB6MW8,nikolaev_implementation_2018,"Nikolaev et al., 2018",2018,Nikolaev
4TBGS9I4,ning_exploration_2024,"Ning et al., 2024",2024,Ning
GWDAFMH7,norambuena_integrating_2025,"Norambuena et al., 2025",2025,Norambuena
TBVDXJH6,ortiz_digital_2025,"Ortiz et al., 2025",2025,Ortiz
M2FXTDEG,ortiz_real-time_2026,"Ortiz et al., 2026",2026,Ortiz
UGRYS3CL,pang_remote_2022,"Pang et al., 2022",2022,Pang
S2WI7K2S,park_ar_2026,"Park et al., 2026",2026,Park
79J2MH8T,posio_experiences_2023,"Posio et al., 2023",2023,Posio
PG2CBLTM,promyoo_innovative_2019,"Promyoo et al., 2019",2019,Promyoo
YZHXUBN7,riess_digital_2023,"Riess et al., 2023",2023,Riess
C73RZ7X8,rigo_digital_2026,"Rigó et al., 2026",2026,Rigó
YXRMLV7A,s_study_2026,"Harini S., 2026",2026,S
76777Q2X,sakkas_multiplayer_2025,"Sakkas et al., 2025",2025,Sakkas
9T5MJ96J,shehadeh_emerging_2026,"Shehadeh et al., 2026",2026,Shehadeh
PI838F5U,speicher_digital_2026,"Speicher et al., 2026",2026,Speicher
3ZZDNR2Z,szanto_development_2024,"Szántó et al., 2024",2024,Szántó
ASVWVQ3C,tarng_application_2024,"Tarng et al., 2024",2024,Tarng
ZMKNFA6J,terkaj_framework_2024,"Terkaj et al., 2024a",2024,Terkaj
BY9KWQ9X,terkaj_virtual_2024,"Terkaj et al., 2024b",2024,Terkaj
P242H59T,tjahyadi_digital_2023,"Tjahyadi et al., 2023",2023,Tjahyadi
4S7PWRLU,toivonen_fms_2018,"Toivonen et al., 2018",2018,Toivonen
HM4FMFEF,usman_re-envisioning_2023,"Usman et al., 2023",2023,Usman
JACDIDHQ,veitia_when_2025,"Veitia et al., 2025",2025,Veitia
2G3VN26R,vasquez-lopez_enhancing_2025,"Vásquez-López et al., 2025",2025,Vásquez-López
M42IKCPV,wang_digital_2025,"Wang et al., 2025a",2025,Wang
VY7P5782,wang_innovative_2025,"Wang et al., 2025b",2025,Wang
5XDK88YB,wu_teaching_2025,"Wu, 2025",2025,Wu
3KBLZJAI,xinyi_teaching_2025,"Xinyi et al., 2025",2025,Xinyi
Q4TC3ILQ,yin_research_2025,"Yin, 2025",2025,Yin
V9TXVKGR,zhang_ai-driven_2025,"Zhang et al., 2025",2025,Zhang
GHSMNFS4,zhou_applications_2024,"Zhou et al., 2024",2024,Zhou
6J8AMAN8,alvarez_ariza_investigating_2026,"Álvarez Ariza et al., 2026",2026,Álvarez Ariza
